업종,의료기관명,의료기관주소(도로명),의료기관전화번호
치과의원,우암치과 의원,부산광역시 남구 우암로 148 (우암동),051-637-2875
치과의원,유앤아이치과의원,부산광역시 남구 수영로 33 (문현동),051-635-0035
치과의원,윤치과의원,"부산광역시 남구 고동골로78번길 12, 3층 (문현동)",051-645-2875
치과의원,이곳치과의원,"부산광역시 남구 수영로 157, 2층 (대연동)",051-942-2875
치과의원,이금랑어린이치과의원,"부산광역시 남구 용호로 54, 701호 (용호동, 대영빌딩아파트)",051-611-1275
치과의원,이조은치과의원,부산광역시 남구 용호로 144 (용호동),051-624-2220
치과의원,이좋은45치과의원,"부산광역시 남구 수영로 163, 6층 (대연동)",051-711-2845
치과의원,이편한치과의원,"부산광역시 남구 동명로 137, 3층 (용호동)",051-625-2888
치과의원,인애치과의원,"부산광역시 남구 못골로 73 (대연동, 2층)",051-622-8582
치과의원,인프라 치과의원,"부산광역시 남구 용호로 153, 2,4층 (용호동)",051-626-1959
치과의원,자연미치과의원,"부산광역시 남구 수영로 198, 2층 (대연동)",051-611-7528
치과의원,장원석치과의원,"부산광역시 남구 수영로 233, 민석빌딩 201,202호 (대연동)",051-612-0012
치과의원,장주경치과의원,"부산광역시 남구 수영로 330, 2층 (대연동, 신화빌딩)",051-626-7972
치과의원,전재현치과 의원,"부산광역시 남구 장고개로 108, 2층 (문현동)",051-642-5452
치과의원,전치과 의원,부산광역시 남구 고동골로 16 (문현동),051-635-0018
치과의원,정다운치과의원,"부산광역시 남구 황령대로319번가길 194, 3층 (대연동)",626-2882
치과의원,지명철치과 의원,부산광역시 남구 용호로 233 (용호동),051-627-6797
치과의원,참좋은치과의원,"부산광역시 남구 수영로 204, 1,2층 (대연동)",051-622-7575
치과의원,채정희치과의원,부산광역시 남구 우암로 168-1 (우암동),051-647-6882
치과의원,최덕천치과의원,부산광역시 남구 용호로178번길 3 (용호동),051-622-6752
치과의원,최주현치과의원,"부산광역시 남구 수영로 252, 3층 (대연동)",051-623-2817
치과의원,크리스탈치과의원,"부산광역시 남구 수영로 258, 2층 (대연동)",051-627-7522
치과의원,편안한민치과의원,"부산광역시 남구 수영로 184, 3층 (대연동)",051-791-2828
치과의원,하이미소치과의원,"부산광역시 남구 분포로 115, 힐탑탑플레이스 A동 204호 (용호동)",051-802-1007
치과의원,하이치과의원,"부산광역시 남구 용호로 91, 3층 302호 (용호동, 휴렉스)",051-627-7528
치과의원,한마음치과의원,"부산광역시 남구 용호로 147 (용호동, 한마음클리닉5층)",051-626-2872
치과의원,한빛치과 의원,부산광역시 남구 용호로 195-1 (용호동),051-623-6712
치과의원,한치과 의원,부산광역시 남구 수영로 256 (대연동),051-621-7735
치과의원,해미인치과교정과치과의원,부산광역시 남구 수영로 306 (대연동),051-623-7553
치과의원,해바라기치과의원,"부산광역시 남구 전포대로 16, B104동 106호 (문현동, 문현동이안)",051-642-2804
치과의원,허문회치과의원,"부산광역시 남구 석포로 34, 205, 206호 (감만동, 국제아파트)",051-637-3080
치과의원,현대치과의원,"부산광역시 남구 진남로 201 (문현동, 새마을금고 3층)",051-633-6306
한의원,365 자연안에한의원 대연,"부산광역시 남구 수영로 306, 농협대연동지점 4층 (대연동)",051-611-9800
한의원,365용호한의원,"부산광역시 남구 분포로 111, 1003동 302호 (용호동, 엘지메트로시티)",051-715-3652
한의원,강덕한의원,부산광역시 남구 전포대로 98 (문현동),051-632-7194
한의원,건보한의원,부산광역시 남구 못골로 54 (대연동),051-623-7582
한의원,경희메트로한의원,"부산광역시 남구 분포로 113, 1005동 403호 (용호동, 엘지메트로시티주상가)",051-612-1117
한의원,경희서울한의원,"부산광역시 남구 용호로 173, 1층 (용호동)",051-710-7525
한의원,경희자강한의원,"부산광역시 남구 용호로160번길 4, 1층 (용호동)",051-929-0030
한의원,경희한결한의원,"부산광역시 남구 수영로 233, 민석빌딩 4,7층 (대연동)",051-622-7588
한의원,고구려한의원,"부산광역시 남구 수영로325번길 11, 4층 (대연동, 마로니에타운)",051-627-2727
한의원,고마워 한의원,"부산광역시 남구 수영로 295, 5층 505호 (대연동)",051-611-0300
한의원,곽상호한의원,부산광역시 남구 유엔로 143 (대연동),051-637-1390
한의원,광덕안정한의원 부산대연점,"부산광역시 남구 용소로 5, 동영빌딩 2,5,6층 (대연동)",051-714-2475
한의원,국전경희한의원,부산광역시 남구 용호로178번길 3 (용호동),051-626-1215
한의원,금손한의원,"부산광역시 남구 유엔평화로4번길 45, 2층 (대연동)",051-622-0124
한의원,금천 한의원,부산광역시 남구 수영로219번길 28 (대연동),051-624-3191
한의원,기쁨한의원,부산광역시 남구 수영로 253 (대연동),051-611-6788
한의원,김영수한의원,"부산광역시 남구 수영로 248, 메트로타워 3층 302호 (대연동)",051-611-3933
한의원,김종성한의원,부산광역시 남구 못골로 74 (대연동),051-625-8275
한의원,김종환한의원,"부산광역시 남구 용호로97번길 4, 3,4층 (용호동)",051-626-5880
한의원,김준한의원,"부산광역시 남구 못골로41번길 12, 2층 (대연동)",051-746-7351
한의원,남경한의원,"부산광역시 남구 수영로 312, 3층 322호 (대연동, 21세기센츄리시티건물)",051-621-1135
한의원,다사랑한의원,"부산광역시 남구 못골로 101, 4층 (대연동)",051-628-6628
한의원,당봄한의원 부산점,"부산광역시 남구 문현금융로 40, 부산국제금융센터 230호 (문현동)",051-637-1075
한의원,대산한의원,부산광역시 남구 용호로 112 (용호동),051-612-4321
한의원,대솔한의원,부산광역시 남구 석포로 71 (대연동),051-628-3536
한의원,대연균형한의원,"부산광역시 남구 진남로 4, 2층 (대연동)",051-612-1075
한의원,대연약손한의원,"부산광역시 남구 못골번영로 11, 2층 (대연동)",051-554-0506
한의원,대연척척한의원,"부산광역시 남구 석포로 74, 2층 (대연동)",051-710-5566
한의원,대영한의원,"부산광역시 남구 못골로 18, 2층 (대연동)",051-646-6060
한의원,대추나무한의원,부산광역시 남구 용호로 204 (용호동),051-624-1075
한의원,대한한의원,"부산광역시 남구 수영로 177 (대연동, (2층))",051-633-7582
한의원,더블유한의원,"부산광역시 남구 분포로 145, 스퀘어동 1층 1113호 (용호동, 더블유)",051-711-8575
한의원,덕산 한의원,부산광역시 남구 천제등로 24 (대연동),051-647-0007
한의원,동민한의원,부산광역시 남구 수영로 340 (대연동),051-611-0377
한의원,동천 한의원,부산광역시 남구 용호로 100 (용호동),051-611-2080
한의원,따뜻한 한의원,부산광역시 남구 진남로 205-1 (문현동),051-634-7776
한의원,명가한의원,"부산광역시 남구 수영로 220 (대연동, (1,2층))",051-327-1075
한의원,몸맘소생한의원,부산광역시 남구 우암로 148(우암동),051-636-3160
한의원,박창수한의원,부산광역시 남구 고동골로 8 (문현동),051-636-1059
한의원,본드림한의원,"부산광역시 남구 수영로 345, 115동 303-1호 (대연동, 대연힐스테이푸르지오)",051-741-7588
한의원,부산대연리아한의원,"부산광역시 남구 수영로 244, 남천빌딩 3층 (대연동)",051-710-4975
한의원,부산동천 한의원,"부산광역시 남구 용호로 124, 203호 (용호동, 조광상가 )",051-628-7510
한의원,산삼한의원,"부산광역시 남구 수영로 260, 611호 (대연동, 대연백리명가에덴)",051-612-1066
한의원,생기한의원,부산광역시 남구 지게골로 46 (문현동),051-635-6352
한의원,생생한의원,부산광역시 남구 수영로 183 (대연동),051-638-1240
한의원,성남한의원,부산광역시 남구 홍곡로 12 (감만동),051-647-7582
한의원,세명한의원,"부산광역시 남구 용호로 173 (용호동, 2층)",051-758-2068
한의원,소문한의원,부산광역시 남구 수영로219번길 16 (대연동),051-628-9898
한의원,소생한의원,"부산광역시 남구 용호로 127, 1층 (용호동)",051-644-1010
한의원,송 한의원,"부산광역시 남구 분포로 111 (용호동, LGL메트로시티 주상가 402,403호)",051-612-0220
한의원,스마일365한의원,"부산광역시 남구 수영로 201, 2층 (대연동)",051-715-7585
한의원,승곡 한의원,부산광역시 남구 수영로266번길 7 (대연동),051-626-7213
한의원,약손한의원,"부산광역시 남구 분포로 61, 빌리브센트로 A215~A217호 (용호동)",051-621-7501
한의원,여우한의원,"부산광역시 남구 신선로 566, 401동 (용호동, 하이츠자이 아파트 상가 139,147-3호)",051-622-1075
한의원,예담한의원,"부산광역시 남구 용호로 196, 1층 (용호동)",051-751-9633
한의원,오동준한의원,"부산광역시 남구 못골로 49, 2층 (대연동)",051-627-7577
한의원,오복 한의원,"부산광역시 남구 수영로 203, 대연 메디칼센터 2층 (대연동)",051-622-4181
한의원,유동욱한의원,부산광역시 남구 유엔로201번길 86 (대연동),051-622-8150
한의원,유심한의원,"부산광역시 남구 전포대로 90, 3층 (문현동)",051-803-8575
한의원,은행나무한의원,"부산광역시 남구 수영로 200 (대연동, 2층)",051-611-7760
한의원,이창훈한의원,"부산광역시 남구 전포대로 71 (문현동, 호암빌딩202호)",051-647-8275
한의원,인일한의원,부산광역시 남구 용호로 203 (용호동),051-623-6938
한의원,자연닮은한의원,"부산광역시 남구 고동골로 29, 문현베스티움 상가 2층 209호 (문현동)",051-627-1261
한의원,자원당한의원,"부산광역시 남구 문현로 69, 2층 (문현동, 대영빌딩)",051)647-7775
한의원,자윤수한의원,"부산광역시 남구 오륙도로 85, 202,203호 (용호동, 오륙도SK뷰2상가)",051-626-3834
한의원,장수촌한의원,"부산광역시 남구 분포로 111, 1005동 305호 (용호동, LG메트로시티 상가 )",051-612-5353
한의원,전용태한의원,부산광역시 남구 용호로 149 (용호동),051-624-3741
한의원,정상신한의원,"부산광역시 남구 우암로 168, 2층 (우암동)",051-631-0210
한의원,정침한의원,"부산광역시 남구 진남로 9 (대연동, (2층))",051-621-7582
한의원,참사랑한의원,부산광역시 남구 석포로 48 (감만동),051-647-4009
한의원,참힐링한의원,"부산광역시 남구 수영로 261, 2층 201호, 202호 (대연동, 대연 SK VIEW Hills)",051-625-4080
한의원,창록바른몸한의원,"부산광역시 남구 수영로 237 (대연동, 대연 메디타워 601호)",051-622-7591
한의원,천걸음한의원,"부산광역시 남구 수영로 240-1, 이지스퀘어빌딩 6층 601호 (대연동)",051-756-3888
한의원,천지인한의원,"부산광역시 남구 수영로 213, 1층 (대연동)",051-791-1075
한의원,청담한의원,"부산광역시 남구 용호로 54, 4층 402,403호 (용호동, 대영빌딩)",051-627-7514
한의원,초심한의원,부산광역시 남구 황령대로319번가길 194 (대연동),051-623-1373
한의원,치앤추한의원,"부산광역시 남구 용호로 153, 2,4층 (용호동)",051-626-1959
한의원,태강 한의원,"부산광역시 남구 고동골로4번길 17, 2층 (문현동)",051-642-4332
한의원,태림한의원,부산광역시 남구 용호로 161-1 (용호동),051-626-7582
한의원,평일한의원,"부산광역시 남구 못골로 51, 2층 (대연동)",051-711-7789
한의원,해수한의원,부산광역시 남구 유엔평화로143번길 7 (용당동),051-626-5337
한의원,향기로운 한의원,"부산광역시 남구 못골로12번길 35, 5층 501~503호 (대연동)",051-636-1395
한의원,허균한의원,"부산광역시 남구 수영로 283, 103동 1층 104호 (대연동, 벽산e-솔렌스힐)",051-636-1395
한의원,현창한의원,"부산광역시 남구 수영로 21, 2층 (문현동)",051-638-7900
한의원,혜산한의원,"부산광역시 남구 수영로 74-5, 109호 (문현동, 무학프라자)",051-643-0975
한의원,혜인 한의원,부산광역시 남구 수영로 256 (대연동),051-628-5213
한의원,호랑한의원,"부산광역시 남구 수영로 243-1, 1층 (대연동)",051-710-8582
한의원,호박한의원,"부산광역시 남구 용호로 147, 6,7층 (용호동, 종합검진센타)",051-621-0617
한의원,화목한의원,"부산광역시 남구 동명로146번길 70, 늘푸른학원 2층 (용호동)",051-612-1076
한의원,효성한의원,"부산광역시 남구 용호로 153, 1층 (용호동)",051-710-1875
